Ranking,University,Location,Tuition,Enrollment
#216,Texas Tech University,"Lubbock, TX","$24,092
 (out-of-state)
$11,852
 (in-state)","32,579
 (fall 2022)"
#216,University of Massachusetts--Boston,"Boston, MA","$37,211
 (out-of-state)
$15,535
 (in-state)","12,221
 (fall 2022)"
#216,University of North Carolina--Greensboro,"Greensboro, NC","$22,539
 (out-of-state)
$7,379
 (in-state)","14,198
 (fall 2022)"
#216,University of St. Thomas (TX),"Houston, TX","$33,660","2,729
 (fall 2022)"
#216,University of Wyoming,"Laramie, WY","$22,718
 (out-of-state)
$6,938
 (in-state)","8,518
 (fall 2022)"
#216,West Virginia University,"Morgantown, WV","$26,568
 (out-of-state)
$9,360
 (in-state)","19,059
 (fall 2022)"
#227,Georgia State University,"Atlanta, GA","$29,306
 (out-of-state)
$10,268
 (in-state)","28,927
 (fall 2022)"
#227,Kent State University,"Kent, OH","$22,316
 (out-of-state)
$12,846
 (in-state)","20,418
 (fall 2022)"
#227,Misericordia University,"Dallas, PA","$38,370","1,777
 (fall 2022)"
#227,Nova Southeastern University,"Ft. Lauderdale, FL","$37,080","6,971
 (fall 2022)"
#227,University of Alabama at Huntsville,"Huntsville, AL","$24,770
 (out-of-state)
$11,878
 (in-state)","7,169
 (fall 2022)"
#227,The University of Texas--Rio Grande Valley,"Edinburg, TX","$19,333
 (out-of-state)
$9,538
 (in-state)","26,434
 (fall 2022)"
#227,Western Carolina University,"Cullowhee, NC","$8,532
 (out-of-state)
$4,532
 (in-state)","9,956
 (fall 2022)"
#227,Widener University,"Chester, PA","$53,638","2,555
 (fall 2022)"
#235,Grand Valley State University,"Allendale, MI","$20,820
 (out-of-state)
$14,628
 (in-state)","19,379
 (fall 2022)"
#236,Azusa Pacific University,"Azusa, CA","$42,330","2,588
 (fall 2022)"
#236,Belmont University,"Nashville, TN","$41,320","7,376
 (fall 2022)"
#236,Bethel University (MN),"St. Paul, MN","$42,930","2,533
 (fall 2022)"
#236,Biola University,"La Mirada, CA","$46,704","3,499
 (fall 2022)"
#236,Gallaudet University,"Washington, DC","$18,254","914
 (fall 2022)"
#236,Lipscomb University,"Nashville, TN","$38,824","2,955
 (fall 2022)"
#236,University of Colorado Denver,"Denver, CO","$35,106
 (out-of-state)
$12,366
 (in-state)","14,055
 (fall 2022)"
#236,University of New Mexico,"Albuquerque, NM","$26,452
 (out-of-state)
$10,092
 (in-state)","15,914
 (fall 2022)"
#236,University of North Dakota,"Grand Forks, ND","$15,570
 (out-of-state)
$10,951
 (in-state)","9,928
 (fall 2022)"
#236,University of North Florida,"Jacksonville, FL","$20,107
 (out-of-state)
$6,398
 (in-state)","14,171
 (fall 2022)"
#236,The University of Texas--Arlington,"Arlington, TX","$29,660
 (out-of-state)
$11,728
 (in-state)","30,791
 (fall 2022)"
#236,Western New England University,"Springfield, MA","$46,430","2,406
 (fall 2022)"
#249,Keiser University,"Ft. Lauderdale, FL","$36,020","16,960
 (fall 2022)"
#249,Maryville University of St. Louis,"St Louis, MO","$27,166","5,809
 (fall 2022)"
#249,North Dakota State University,"Fargo, ND","$15,646
 (out-of-state)
$10,992
 (in-state)","10,096
 (fall 2022)"
#249,Northern Arizona University,"Flagstaff, AZ","$28,900
 (out-of-state)
$12,654
 (in-state)","23,207
 (fall 2022)"
#249,Pace University,"New York, NY","$51,424","8,223
 (fall 2022)"
#249,Sam Houston State University,"Huntsville, TX","$22,996
 (out-of-state)
$10,756
 (in-state)","18,235
 (fall 2022)"
#249,Suffolk University,"Boston, MA","$45,380","4,437
 (fall 2022)"
#249,Tennessee Tech University,"Cookeville, TN","$15,030
 (out-of-state)
$10,830
 (in-state)","8,537
 (fall 2022)"
#249,Union University,"Jackson, TN","$38,300","1,899
 (fall 2022)"
#249,University of Maine,"Orono, ME","$35,346
 (out-of-state)
$12,606
 (in-state)","9,774
 (fall 2022)"
#249,University of Wisconsin--La Crosse,"La Crosse, WI","$18,814
 (out-of-state)
$9,774
 (in-state)","9,352
 (fall 2022)"
#260,Central Michigan University,"Mount Pleasant, MI","$14,790
 (out-of-state)
$14,790
 (in-state)","10,421
 (fall 2022)"
#260,Gannon University,"Erie, PA","$36,676","2,991
 (fall 2022)"
#260,Gwynedd Mercy University,"Gwynedd Valley, PA","$38,310","1,412
 (fall 2022)"
#260,Loyola University New Orleans,"New Orleans, LA","$47,240","3,289
 (fall 2022)"
#260,Regis University,"Denver, CO","$43,980","2,398
 (fall 2022)"
#260,University of Missouri--St. Louis,"St. Louis, MO","$31,516
 (out-of-state)
$12,648
 (in-state)","12,431
 (fall 2022)"
#260,University of New England,"Biddeford, ME","$42,550","3,718
 (fall 2022)"
#260,University of North Texas,"Denton, TX","$24,644
 (out-of-state)
$12,044
 (in-state)","33,024
 (fall 2022)"
#260,Winston-Salem State University,"Winston-Salem, NC","$16,932
 (out-of-state)
$6,276
 (in-state)","4,726
 (fall 2022)"
#269,Florida Institute of Technology,"Melbourne, FL","$44,360","3,374
 (fall 2022)"
#269,George Fox University,"Newberg, OR","$40,940","2,534
 (fall 2022)"
#269,Lincoln Memorial University,"Harrogate, TN","$26,150","1,560
 (fall 2022)"
#269,Northern Illinois University,"DeKalb, IL","$12,504
 (out-of-state)
$12,504
 (in-state)","11,429
 (fall 2022)"
#269,Seattle Pacific University,"Seattle, WA","$38,814","2,428
 (fall 2022)"
#269,University of Memphis,"Memphis, TN","$18,024
 (out-of-state)
$10,344
 (in-state)","16,708
 (fall 2022)"
#269,University of Missouri--Kansas City,"Kansas City, MO","$30,734
 (out-of-state)
$12,734
 (in-state)","10,190
 (fall 2022)"
#269,University of Nevada--Las Vegas,"Las Vegas, NV","$26,099
 (out-of-state)
$9,143
 (in-state)","25,365
 (fall 2022)"
#269,University of South Dakota,"Vermillion, SD","$12,942
 (out-of-state)
$9,432
 (in-state)","7,132
 (fall 2022)"
#269,Utah State University,"Logan, UT","$24,802
 (out-of-state)
$9,228
 (in-state)","24,835
 (fall 2022)"
#269,Wilkes University,"Wilkes-Barre, PA","$42,286","2,000
 (fall 2022)"
#280,Bellarmine University,"Louisville, KY","$46,780","2,343
 (fall 2022)"
#280,Bowling Green State University,"Bowling Green, OH","$21,424
 (out-of-state)
$13,436
 (in-state)","13,853
 (fall 2022)"
#280,California State University--East Bay,"Hayward, CA","$18,875
 (out-of-state)
$6,995
 (in-state)","12,114
 (fall 2022)"
#280,Clarke University,"Dubuque, IA","$39,600","785
 (fall 2022)"
#280,DeSales University,"Center Valley, PA","$44,800","2,231
 (fall 2022)"
#280,Hampton University,"Hampton, VA","$29,312","2,794
 (fall 2022)"
#280,Immaculata University,"Immaculata, PA","$28,550","1,508
 (fall 2022)"
#280,Marian University (IN),"Indianapolis, IN","$39,100","2,860
 (fall 2022)"
#280,North Carolina Agricultural and Technical State University,"Greensboro, NC","$20,243
 (out-of-state)
$6,733
 (in-state)","11,833
 (fall 2022)"
#280,Oklahoma City University,"Oklahoma City, OK","$33,586","1,361
 (fall 2022)"
#280,Old Dominion University,"Norfolk, VA","$32,662
 (out-of-state)
$12,262
 (in-state)","18,375
 (fall 2022)"
#280,Portland State University,"Portland, OR","$24,495
 (out-of-state)
$9,375
 (in-state)","16,864
 (fall 2022)"
#280,Southern Illinois University--Carbondale,"Carbondale, IL","$15,522
 (out-of-state)
$15,522
 (in-state)","8,000
 (fall 2022)"
#280,Texas State University,"San Marcos, TX","$24,447
 (out-of-state)
$12,207
 (in-state)","33,834
 (fall 2022)"
#280,University of St. Francis,"Joliet, IL","$37,000","1,417
 (fall 2022)"
#280,The University of Texas--San Antonio,"San Antonio, TX","$26,798
 (out-of-state)
$10,580
 (in-state)","29,654
 (fall 2022)"
#280,The University of Toledo,"Toledo, OH","$21,280
 (out-of-state)
$11,920
 (in-state)","11,965
 (fall 2022)"
#296,Alvernia University,"Reading, PA","$42,810","2,018
 (fall 2022)"
#296,Edgewood College,"Madison, WI","$33,550","1,233
 (fall 2022)"
#296,New Mexico State University,"Las Cruces, NM","$27,385
 (out-of-state)
$9,058
 (in-state)","11,591
 (fall 2022)"
#296,Saint Mary's University of Minnesota,"Winona, MN","$43,160","1,100
 (fall 2022)"
#296,South Dakota State University,"Brookings, SD","$12,809
 (out-of-state)
$9,299
 (in-state)","9,921
 (fall 2022)"
#296,Southeastern Baptist Theological Seminary,"Wake Forest, NC","$10,234","775
 (fall 2022)"
#296,University of the Incarnate Word,"San Antonio, TX","$35,660","4,724
 (fall 2022)"
#303,Aurora University,"Aurora, IL","$27,420","4,114
 (fall 2022)"
#303,Montana State University,"Bozeman, MT","$27,990
 (out-of-state)
$7,727
 (in-state)","14,648
 (fall 2022)"
#304,Concordia University Wisconsin,"Mequon, WI","$34,250","2,817
 (fall 2022)"
#304,Ferris State University,"Big Rapids, MI","$14,686
 (out-of-state)
$14,686
 (in-state)","9,000
 (fall 2022)"
#304,Florida Gulf Coast University,"Fort Myers, FL","$25,161
 (out-of-state)
$6,118
 (in-state)","14,137
 (fall 2022)"
#304,Harding University,"Searcy, AR","$24,888","3,523
 (fall 2022)"
#304,Louisiana Tech University,"Ruston, LA","$19,608
 (out-of-state)
$10,695
 (in-state)","10,083
 (fall 2022)"
#304,Middle Tennessee State University,"Murfreesboro, TN","$29,584
 (out-of-state)
$9,592
 (in-state)","17,438
 (fall 2022)"
#304,Oakland City University,"Oakland City, IN","$27,150","699
 (fall 2022)"
#304,Radford University,"Radford, VA","$24,738
 (out-of-state)
$12,286
 (in-state)","6,008
 (fall 2022)"
#304,Shenandoah University,"Winchester, VA","$36,028","2,461
 (fall 2022)"
#304,University of Hartford,"West Hartford, CT","$47,648","3,969
 (fall 2022)"
#304,University of Houston--Clear Lake,"Houston, TX","$26,081
 (out-of-state)
$9,101
 (in-state)","6,254
 (fall 2022)"
#304,University of Indianapolis,"Indianapolis, IN","$36,136","3,613
 (fall 2022)"
#304,University of Nebraska Omaha,"Omaha, NE","$21,718
 (out-of-state)
$8,136
 (in-state)","12,026
 (fall 2022)"
#304,The University of Texas--El Paso,"El Paso, TX","$24,952
 (out-of-state)
$9,544
 (in-state)","20,165
 (fall 2022)"
#304,Western Michigan University,"Kalamazoo, MI","$18,218
 (out-of-state)
$14,594
 (in-state)","14,397
 (fall 2022)"
#320,Abilene Christian University,"Abilene, TX","$42,380","3,189
 (fall 2022)"
#320,Andrews University,"Berrien Springs, MI","$33,710","1,295
 (fall 2022)"
#320,Campbell University,"Buies Creek, NC","$40,410","2,965
 (fall 2022)"
#320,Cleveland State University,"Cleveland, OH","$17,875
 (out-of-state)
$12,550
 (in-state)","9,950
 (fall 2022)"
#320,D'Youville University,"Buffalo, NY","$33,540","1,399
 (fall 2022)"
#320,East Tennessee State University,"Johnson City, TN","$13,484
 (out-of-state)
$9,674
 (in-state)","10,553
 (fall 2022)"
#320,Indiana University of Pennsylvania,"Indiana, PA","$14,864
 (out-of-state)
$11,380
 (in-state)","7,047
 (fall 2022)"
#320,Kean University,"Union, NJ","$21,076
 (out-of-state)
$13,426
 (in-state)","10,845
 (fall 2022)"
#320,Marymount University,"Arlington, VA","$38,250","2,275
 (fall 2022)"
#320,St. Ambrose University,"Davenport, IA","$35,598","2,120
 (fall 2022)"
#320,University of Puerto Rico--Rio Piedras,"Rio Piedras, PR","$2,168
 (out-of-state)
$5,324
 (in-state)","10,207
 (fall 2022)"
#332,Augusta University,"Augusta, GA","$22,270
 (out-of-state)
$6,892
 (in-state)","5,396
 (fall 2022)"
#332,Boise State University,"Boise, ID","$26,976
 (out-of-state)
$8,782
 (in-state)","22,962
 (fall 2022)"
#332,Marshall University,"Huntington, WV","$19,658
 (out-of-state)
$8,604
 (in-state)","7,962
 (fall 2022)"
#332,The Master's University and Seminary,"Santa Clarita, CA","$32,870","1,765
 (fall 2022)"
#332,Morgan State University,"Baltimore, MD","$18,800
 (out-of-state)
$8,118
 (in-state)","7,609
 (fall 2022)"
#332,Oakland University,"Rochester, MI","$23,188
 (out-of-state)
$14,694
 (in-state)","12,841
 (fall 2022)"
#332,Southern Illinois University Edwardsville,"Edwardsville, IL","$12,922
 (out-of-state)
$12,922
 (in-state)","9,321
 (fall 2022)"
#332,Texas Woman's University,"Denton, TX","$23,140
 (out-of-state)
$10,540
 (in-state)","10,150
 (fall 2022)"
#332,University of Findlay,"Findlay, OH","$40,186","3,906
 (fall 2022)"
#332,University of Wisconsin--Milwaukee,"Milwaukee, WI","$21,514
 (out-of-state)
$9,650
 (in-state)","18,751
 (fall 2022)"
#332,University of Wisconsin--Oshkosh,"Oshkosh, WI","$15,368
 (out-of-state)
$7,795
 (in-state)","11,773
 (fall 2022)"
#332,Wichita State University,"Wichita, KS","$18,226
 (out-of-state)
$8,860
 (in-state)","12,696
 (fall 2022)"
#342,Lesley University,"Cambridge, MA","$31,364","1,757
 (fall 2022)"
#342,Missouri State University,"Springfield, MO","$17,144
 (out-of-state)
$8,604
 (in-state)","18,837
 (fall 2022)"
#345,Baker University,"Baldwin City, KS","$33,800","1,187
 (fall 2022)"
#345,Concordia University Irvine,"Irvine, CA","$41,390","1,699
 (fall 2022)"
#345,Daemen University,"Amherst, NY","$33,724","1,782
 (fall 2022)"
#345,University of Louisiana at Lafayette,"Lafayette, LA","$24,110
 (out-of-state)
$10,382
 (in-state)","12,950
 (fall 2022)"
#345,University of Lynchburg,"Lynchburg, VA","$35,540","1,589
 (fall 2022)"
#345,University of Tennessee at Chattanooga,"Chattanooga, TN","$25,966
 (out-of-state)
$9,848
 (in-state)","9,884
 (fall 2022)"
#352,Eastern Kentucky University,"Richmond, KY","$20,222
 (out-of-state)
$9,844
 (in-state)","12,072
 (fall 2022)"
#352,Georgia Southern University,"Statesboro, GA","$20,816
 (out-of-state)
$6,998
 (in-state)","22,003
 (fall 2022)"
#352,Point Park University,"Pittsburgh, PA","$48,070","2,418
 (fall 2022)"
#352,Texas A&M University--Kingsville,"Kingsville, TX","$11,445
 (out-of-state)
$4,946
 (in-state)","4,845
 (fall 2022)"
#352,University of Hawaii at Hilo,"Hilo, HI","$20,798
 (out-of-state)
$7,838
 (in-state)","2,593
 (fall 2022)"
#352,University of Northern Colorado,"Greeley, CO","$26,204
 (out-of-state)
$12,010
 (in-state)","6,728
 (fall 2022)"
#352,University of Southern Mississippi,"Hattiesburg, MS","$11,618
 (out-of-state)
$9,618
 (in-state)","10,258
 (fall 2022)"
#352,Walsh University,"North Canton, OH","$34,595","1,558
 (fall 2022)"
#356,Gardner-Webb University,"Boiling Springs, NC","$33,230","1,983
 (fall 2022)"
#356,William Carey University,"Hattiesburg, MS","$14,685","3,337
 (fall 2022)"
#361,Arkansas State University,"State University, AR","$13,312
 (out-of-state)
$7,456
 (in-state)","8,201
 (fall 2022)"
#361,Carson-Newman University,"Jefferson City, TN","$34,700","1,528
 (fall 2022)"
#361,Clark Atlanta University,"Atlanta, GA","$26,446","3,427
 (fall 2022)"
#361,Husson University,"Bangor, ME","$22,194","2,453
 (fall 2022)"
#361,The University of Akron,"Akron, OH","$17,239
 (out-of-state)
$12,799
 (in-state)","11,323
 (fall 2022)"
#361,University of Montana,"Missoula, MT","$31,622
 (out-of-state)
$8,152
 (in-state)","7,215
 (fall 2022)"
#361,The University of Texas--Tyler,"Tyler, TX","$25,198
 (out-of-state)
$9,920
 (in-state)","6,971
 (fall 2022)"
#361,Western Kentucky University,"Bowling Green, KY","$27,000
 (out-of-state)
$11,436
 (in-state)","14,440
 (fall 2022)"
#369,Dominican University New York,"Orangeburg, NY","$33,060","1,097
 (fall 2022)"
#369,Long Island University,"Brookville, NY","$41,492","11,319
 (fall 2022)"
#369,Mississippi College,"Clinton, MS","$21,698","2,396
 (fall 2022)"
#369,Regent University,"Virginia Beach, VA","$20,685","4,552
 (fall 2022)"
#369,Texas A&M University--Commerce,"Commerce, TX","$22,626
 (out-of-state)
$10,026
 (in-state)","7,201
 (fall 2022)"
#369,University of Louisiana at Monroe,"Monroe, LA","$21,679
 (out-of-state)
$9,579
 (in-state)","6,472
 (fall 2022)"
#369,University of Maryland Eastern Shore,"Princess Anne, MD","$19,728
 (out-of-state)
$8,898
 (in-state)","1,933
 (fall 2022)"
#376,Dallas Baptist University,"Dallas, TX","$38,140","2,968
 (fall 2022)"
#376,Eastern Michigan University,"Ypsilanti, MI","$15,170
 (out-of-state)
$15,170
 (in-state)","11,617
 (fall 2022)"
#376,Mount St. Joseph University,"Cincinnati, OH","$34,900","1,423
 (fall 2022)"
#376,Tarleton State University,"Stephenville, TX","$21,932
 (out-of-state)
$9,819
 (in-state)","12,012
 (fall 2022)"
#376,University of Mary,"Bismarck, ND","$21,062","2,579
 (fall 2022)"
#376,Wingate University,"Wingate, NC","$41,516","2,510
 (fall 2022)"
#380,Pontifical Catholic University of Puerto Rico--Ponce,"Ponce, PR","$5,920","4,473
 (fall 2022)"
#382,Indiana State University,"Terre Haute, IN","$21,734
 (out-of-state)
$9,992
 (in-state)","6,965
 (fall 2022)"
#382,Northern Kentucky University,"Highland Heights, KY","$21,480
 (out-of-state)
$10,896
 (in-state)","10,776
 (fall 2022)"
#382,Palm Beach Atlantic University,"West Palm Beach, FL","$35,900","3,028
 (fall 2022)"
#382,Trevecca Nazarene University,"Nashville, TN","$27,300","1,867
 (fall 2022)"
#382,University of South Alabama,"Mobile, AL","$22,640
 (out-of-state)
$11,420
 (in-state)","8,491
 (fall 2022)"
#382,University of West Georgia,"Carrollton, GA","$20,852
 (out-of-state)
$7,034
 (in-state)","8,687
 (fall 2022)"
#389,University of Alaska--Fairbanks,"Fairbanks, AK","$22,032
 (out-of-state)
$7,896
 (in-state)","5,844
 (fall 2022)"
#389,University of Bridgeport,"Bridgeport, CT","$35,760","1,873
 (fall 2022)"
#390,Roosevelt University,"Chicago, IL","$20,280","2,391
 (fall 2022)"
#390,Saint Leo University,"Saint Leo, FL","$28,360","2,336
 (fall 2022)"
#390,University of Arkansas--Little Rock,"Little Rock, AR","$18,957
 (out-of-state)
$8,366
 (in-state)","6,236
 (fall 2022)"
#390,University of Michigan--Flint,"Flint, MI","$25,830
 (out-of-state)
$13,524
 (in-state)","4,609
 (fall 2022)"
#395-435,Alabama State University,"Montgomery, AL","$19,396
 (out-of-state)
$11,068
 (in-state)","3,296
 (fall 2022)"
#395-435,American International College,"Springfield, MA","$40,550","1,288
 (fall 2022)"
#395-435,Barry University,"Miami Shores, FL","$32,500","3,122
 (fall 2022)"
#395-435,Belhaven University,"Jackson, MS","$29,195","1,501
 (fall 2022)"
#394-435,Brenau University,"Gainesville, GA","$33,275","1,367
 (fall 2022)"
#394-435,Briar Cliff University,"Sioux City, IA","$34,498","709
 (fall 2022)"
#395-435,Capitol Technology University,"Laurel, MD","$27,004","331
 (fall 2022)"
#395-435,Colorado Technical University,"Colorado Springs, CO","$12,696","21,161
 (fall 2022)"
#395-435,Grand Canyon University,"Phoenix, AZ","$17,800","65,870
 (fall 2022)"
#395-435,Hardin-Simmons University,"Abilene, TX","$31,686","1,347
 (fall 2022)"
#395-435,Idaho State University,"Pocatello, ID","$25,936
 (out-of-state)
$7,958
 (in-state)","9,818
 (fall 2022)"
#395-435,Jackson State University,"Jackson, MS","$9,445
 (out-of-state)
$8,445
 (in-state)","4,763
 (fall 2022)"
#394-435,Kennesaw State University,"Kennesaw, GA","$20,966
 (out-of-state)
$6,898
 (in-state)","39,005
 (fall 2022)"
#395-435,Lamar University,"Beaumont, TX","$22,826
 (out-of-state)
$10,586
 (in-state)","8,257
 (fall 2022)"
#395-435,Liberty University,"Lynchburg, VA","$25,040","48,906
 (fall 2022)"
#395-435,Mary Baldwin University,"Staunton, VA","$33,127","1,314
 (fall 2022)"
#395-435,National Louis University,"Chicago, IL","$11,580","3,601
 (fall 2022)"
#395-435,Our Lady of the Lake University,"San Antonio, TX","$31,728","1,195
 (fall 2022)"
#395-435,Prairie View A&M University,"Prairie View, TX","$26,874
 (out-of-state)
$11,299
 (in-state)","8,444
 (fall 2022)"
#395-435,Purdue University Global,"West Lafayette, IN","$14,445
 (out-of-state)
$10,134
 (in-state)","32,477
 (fall 2022)"
#395-435,South College,"Knoxville, TN","$17,335","4,598
 (fall 2022)"
#395-435,Southeastern University,"Lakeland, FL","$31,732","8,840
 (fall 2022)"
#395-435,Southern University and A&M College,"Baton Rouge, LA","$10,479
 (out-of-state)
$9,290
 (in-state)","6,470
 (fall 2022)"
#395-435,St. Thomas University,"Miami Gardens, FL","$34,770","3,980
 (fall 2022)"
#395-435,Tennessee State University,"Nashville, TN","$21,692
 (out-of-state)
$8,336
 (in-state)","7,678
 (fall 2022)"
#395-435,Texas A&M University--Corpus Christi,"Corpus Christi, TX","$23,727
 (out-of-state)
$10,533
 (in-state)","7,824
 (fall 2022)"
#395-435,Texas Southern University,"Houston, TX","$21,413
 (out-of-state)
$9,173
 (in-state)","6,830
 (fall 2022)"
#395-435,Texas Wesleyan University,"Fort Worth, TX","$36,128","1,775
 (fall 2022)"
#395-435,Trinity International University,"Deerfield, IL","$33,898","517
 (fall 2022)"
#395-435,Universidad Ana G. Mendez--Gurabo Campus,"Gurabo, PR","$6,920","8,772
 (fall 2022)"
#394-435,University of Central Arkansas,"Conway, AR","$17,258
 (out-of-state)
$10,118
 (in-state)","7,994
 (fall 2022)"
#395-435,University of Charleston,"Charleston, WV","$31,900","2,162
 (fall 2022)"
#395-435,University of Colorado--Colorado Springs,"Colorado Springs, CO","$27,072
 (out-of-state)
$10,942
 (in-state)","9,540
 (fall 2022)"
#394-435,University of Mary Hardin-Baylor,"Belton, TX","$33,150","3,072
 (fall 2022)"
#394-435,University of New Orleans,"New Orleans, LA","$14,190
 (out-of-state)
$9,354
 (in-state)","5,804
 (fall 2022)"
#395-435,University of Pikeville,"Pikeville, KY","$24,150","1,483
 (fall 2022)"
#395-435,University of the Cumberlands,"Williamsburg, KY","$9,875","5,174
 (fall 2022)"
#395-435,Valdosta State University,"Valdosta, GA","$17,062
 (out-of-state)
$6,007
 (in-state)","7,589
 (fall 2022)"
#395-435,William Woods University,"Fulton, MO","$27,480","781
 (fall 2022)"
#395-435,Wilmington University,"New Castle, DE","$12,030","8,332
 (fall 2022)"
#394-435,Wright State University,"Dayton, OH","$19,494
 (out-of-state)
$10,076
 (in-state)","6,938
 (fall 2022)"
Unranked,Albizu University--Miami,"Miami, FL","$13,719","179
 (fall 2022)"
Unranked,Alliant International University,"San Diego, CA","$17,130","95
 (fall 2022)"
Unranked,Loma Linda University,"Loma Linda, CA","$37,332","1,073
 (fall 2022)"
Unranked,Pontifical Catholic University of Puerto Rico--Arecibo,"Arecibo, PR","$5,818","361
 (fall 2022)"
